date,ppi
1913-01,12.1
1913-02,12
1913-03,12
1913-04,12
1913-05,11.9
1913-06,11.9
1913-07,12
1913-08,12
1913-09,12.2
1913-10,12.2
1913-11,12.1
1913-12,11.9
1914-01,11.8
1914-02,11.8
1914-03,11.7
1914-04,11.7
1914-05,11.6
1914-06,11.6
1914-07,11.6
1914-08,12
1914-09,12.1
1914-10,11.7
1914-11,11.7
1914-12,11.6
1915-01,11.8
1915-02,11.8
1915-03,11.8
1915-04,11.8
1915-05,11.9
1915-06,11.8
1915-07,11.9
1915-08,11.8
1915-09,11.8
1915-10,12.1
1915-11,12.3
1915-12,12.8
1916-01,13.3
1916-02,13.5
1916-03,13.9
1916-04,14.1
1916-05,14.2
1916-06,14.3
1916-07,14.4
1916-08,14.7
1916-09,15
1916-10,15.7
1916-11,16.8
1916-12,17.1
1917-01,17.6
1917-02,18
1917-03,18.5
1917-04,19.7
1917-05,20.8
1917-06,21
1917-07,21.2
1917-08,21.5
1917-09,21.3
1917-10,21.1
1917-11,21.2
1917-12,21.2
1918-01,21.6
1918-02,21.1
1918-03,21.8
1918-04,22.1
1918-05,22.1
1918-06,22.2
1918-07,22.7
1918-08,23.2
1918-09,23.7
1918-10,23.5
1918-11,23.5
1918-12,23.5
1919-01,23.2
1919-02,22.4
1919-03,22.6
1919-04,22.9
1919-05,23.3
1919-06,23.4
1919-07,24.3
1919-08,24.9
1919-09,24.3
1919-10,24.4
1919-11,24.9
1919-12,26
1920-01,27.2
1920-02,27.1
1920-03,27.3
1920-04,28.5
1920-05,28.8
1920-06,28.7
1920-07,28.6
1920-08,27.8
1920-09,26.8
1920-10,24.9
1920-11,23
1920-12,20.8
1921-01,19.6
1921-02,18.1
1921-03,17.7
1921-04,17
1921-05,16.6
1921-06,16.1
1921-07,16.1
1921-08,16.1
1921-09,16.1
1921-10,16.2
1921-11,16.2
1921-12,16
1922-01,15.7
1922-02,16
1922-03,16
1922-04,16.1
1922-05,16.6
1922-06,16.6
1922-07,17.1
1922-08,17
1922-09,17.1
1922-10,17.2
1922-11,17.3
1922-12,17.3
1923-01,17.6
1923-02,17.8
1923-03,18
1923-04,17.9
1923-05,17.5
1923-06,17.3
1923-07,17
1923-08,16.9
1923-09,17.2
1923-10,17.1
1923-11,17
1923-12,16.9
1924-01,17.2
1924-02,17.2
1924-03,17
1924-04,16.7
1924-05,16.5
1924-06,16.4
1924-07,16.5
1924-08,16.7
1924-09,16.7
1924-10,16.9
1924-11,17.1
1924-12,17.5
1925-01,17.7
1925-02,17.9
1925-03,17.9
1925-04,17.5
1925-05,17.5
1925-06,17.7
1925-07,18
1925-08,17.9
1925-09,17.8
1925-10,17.8
1925-11,18
1925-12,17.8
1926-01,17.8
1926-02,17.6
1926-03,17.3
1926-04,17.3
1926-05,17.3
1926-06,17.3
1926-07,17.1
1926-08,17.1
1926-09,17.2
1926-10,17.1
1926-11,17
1926-12,16.9
1927-01,16.4
1927-02,16.6
1927-03,16.5
1927-04,16.3
1927-05,16.2
1927-06,16.2
1927-07,16.2
1927-08,16.4
1927-09,16.6
1927-10,16.7
1927-11,16.6
1927-12,16.6
1928-01,16.6
1928-02,16.5
1928-03,16.5
1928-04,16.7
1928-05,16.8
1928-06,16.7
1928-07,16.8
1928-08,16.8
1928-09,17
1928-10,16.7
1928-11,16.5
1928-12,16.5
