date,482111_1984-12_LineHaulRailroads,333132_1980-12_OilAndGasFieldMachineryAndEquipmentManufacturing,333611_1982-06_TurbineAndTurbineGeneratorSetUnitsManufacturing,325120_2003-12_IndustrialGasManufacturing,325412_1981-06_PharmaceuticalPreparationManufacturing,325180_1983-12_OtherBasicInorganicChemicalManufacturing,33611_1982-06_AutomobileAndLightDutyMotorVehicleManufacturing,331315_1981-06_AluminumSheetPlateAndFoilManufacturing,325212_1981-06_SyntheticRubberManufacturing,332618_1982-12_OtherFabricatedWireProductManufacturing,331110_1982-06_IronAndSteelMillsAndFerroalloyManufacturing,332322_1982-12_SheetMetalWorkManufacturing,335931_1981-12_CurrentCarryingWiringDeviceManufacturing,445110_1999-12_SupermarketsAndOtherGroceryExceptConvenienceStores,336412_1985-12_AircraftEngineAndEnginePartsManufacturing,441110_1999-12_NewCarDealers,33441_2011-12_SemiconductorAndOtherElectronicComponentManufacturing,311421_1981-06_FruitAndVegetableCanning,336413_1985-06_OtherAircraftPartsAndAuxiliaryEquipmentManufacturing,4244_2009-02_GroceryAndRelatedProductMerchantWholesalers,481111_1989-12_ScheduledPassengerAirTransportation,484_2003-12_TruckTransportation,325_1984-12_ChemicalManufacturing,332911_1991-06_IndustrialValveManufacturing,325510_1983-06_PaintAndCoatingManufacturing,325211_1980-12_PlasticsMaterialAndResinManufacturing,335311_1981-06_PowerDistributionAndSpecialtyTransformerManufacturing,335313_1985-06_SwitchgearAndSwitchboardApparatusManufacturing,324191_1980-12_PetroleumLubricatingOilAndGreaseManufacturing,325199_1982-12_AllOtherBasicOrganicChemicalManufacturing,621111_1993-12_OfficesOfPhysiciansExceptMentalHealthSpecialists,484121_1992-06_GeneralFreightTruckingLongDistanceTruckload,4242_2009-02_DrugsAndDruggistsSundriesMerchantWholesalers,332991_1983-06_BallAndRollerBearingManufacturing,332510_1985-06_HardwareManufacturing,532412_2003-12_ConstructionMiningAndForestryMachineryAndEquipmentRentalAndLeasing,622110_1992-12_GeneralMedicalAndSurgicalHospitals,221122_2003-12_ElectricPowerDistribution,333120_1980-12_ConstructionMachineryManufacturing
1947-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,
1947-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.2,,,,,
1947-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1,,,,,
1947-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.3,,,,,
1947-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,
1947-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,
1948-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6,,,,,
1948-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2,,,,,
1948-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,
1948-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9,,,,,
1948-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,
1948-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,,,,,
1948-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.1,,,,,
1949-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4,,,,,
1949-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1949-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1949-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1950-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1950-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1950-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5,,,,,
1950-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,
1950-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,
1950-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,
1950-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,,,,,
1950-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,
1950-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.3,,,,,
1950-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.6,,,,,
1950-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,
1950-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,,,,,
1951-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1951-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,
1952-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,,,
1952-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1952-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1952-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1952-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1952-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1952-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1953-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1953-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
1953-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.9,,,,,
