date,ppi
1984-12,100
1986-01,101.3
1986-02,99.9
1986-03,98.3
1986-04,97.9
1986-05,98.2
1986-06,98.2
1986-07,97.5
1986-08,97.4
1986-09,97.6
1986-10,98.2
1986-11,98.3
1986-12,98.3
1987-01,99.1
1987-02,99.5
1987-03,99.5
1987-04,100.2
1987-05,100.6
1987-06,100.9
1987-07,101.3
1987-08,101.6
1987-09,101.3
1987-10,102
1987-11,102.2
1987-12,102.1
1988-01,102.4
1988-02,102.6
1988-03,102.8
1988-04,103.4
1988-05,103.9
1988-06,104.3
1988-07,104.9
1988-08,105.1
1988-09,105.1
1988-10,105.6
1988-11,106.1
1988-12,106.4
1989-01,107.5
1989-02,107.9
1989-03,108.5
1989-04,109.4
1989-05,110.1
1989-06,110.1
1989-07,109.9
1989-08,109.6
1989-09,109.9
1989-10,110.8
1989-11,110.8
1989-12,111
1990-01,112.7
1990-02,112.2
1990-03,112.3
1990-04,112.6
1990-05,113.1
1990-06,113.1
1990-07,113.2
1990-08,114.6
1990-09,116.2
1990-10,118.1
1990-11,118.2
1990-12,117.2
1991-01,116.9
1991-02,116.2
1991-03,115.3
1991-04,115.4
1991-05,115.6
1991-06,115.6
1991-07,115.4
1991-08,115.7
1991-09,115.7
1991-10,116.4
1991-11,116.5
1991-12,116
1992-01,115.9
1992-02,116.3
1992-03,116.4
1992-04,116.9
1992-05,117.6
1992-06,117.9
1992-07,117.8
1992-08,117.6
1992-09,117.6
1992-10,118.3
1992-11,118.2
1992-12,117.9
1993-01,118.4
1993-02,118.9
1993-03,119.3
1993-04,119.7
1993-05,119.8
1993-06,119.5
1993-07,119.3
1993-08,118.6
1993-09,118.4
1993-10,119.4
1993-11,119.3
1993-12,118.8
1994-01,119.3
1994-02,119.8
1994-03,119.9
1994-04,120.1
1994-05,120.4
1994-06,120.4
1994-07,120.9
1994-08,121.5
1994-09,121.1
1994-10,121.5
1994-11,121.9
1994-12,121.7
1995-01,122.6
1995-02,123.1
1995-03,123.4
1995-04,124.1
1995-05,124.5
1995-06,124.4
1995-07,124.4
1995-08,124.4
1995-09,124.3
1995-10,125.1
1995-11,125.1
1995-12,125.3
1996-01,125.8
1996-02,125.7
1996-03,126
1996-04,126.8
1996-05,127.4
1996-06,127.1
1996-07,127.1
1996-08,127.4
1996-09,127.5
1996-10,128.2
1996-11,128
1996-12,128
1997-01,128.1
1997-02,127.9
1997-03,127.8
1997-04,127.7
1997-05,127.6
1997-06,127.2
1997-07,126.9
1997-08,127.4
1997-09,127.3
1997-10,127.6
1997-11,127.5
1997-12,127
1998-01,126.4
1998-02,126.1
1998-03,125.9
1998-04,126.2
1998-05,126.4
1998-06,126.2
1998-07,126.2
1998-08,126
1998-09,125.9
1998-10,126.4
1998-11,126.2
1998-12,125.9
1999-01,126.2
1999-02,125.9
1999-03,126.3
1999-04,127.4
1999-05,127.7
1999-06,127.8
1999-07,128.3
1999-08,129
1999-09,129.7
1999-10,130.2
1999-11,130.3
1999-12,130.5
2000-01,130.8
2000-02,132.2
2000-03,132.9
2000-04,132.6
2000-05,133.1
2000-06,134.2
2000-07,133.9
2000-08,133.5
2000-09,134.7
2000-10,134.9
2000-11,134.9
2000-12,134.3
2001-01,134.8
2001-02,134.8
2001-03,134.5
2001-04,135.6
2001-05,136.5
2001-06,135.8
2001-07,134.4
2001-08,134.6
2001-09,135.6
2001-10,133.7
2001-11,132.7
2001-12,131.6
2002-01,131.7
2002-02,132
2002-03,132.8
2002-04,133.8
2002-05,133.5
2002-06,133.6
2002-07,133.6
2002-08,133.7
2002-09,135
2002-10,135.6
2002-11,134.6
2002-12,134
2003-01,135.7
2003-02,137.6
2003-03,138.7
2003-04,136.3
2003-05,135.8
2003-06,136.3
2003-07,136.4
2003-08,137
2003-09,137.1
2003-10,138.2
2003-11,137.7
2003-12,137.7
2004-01,138.9
2004-02,139.3
2004-03,140.3
2004-04,141.8
2004-05,143.3
2004-06,142.9
2004-07,143.2
2004-08,143.7
2004-09,144.2
2004-10,146.5
2004-11,146.1
2004-12,145
2005-01,146.2
2005-02,147
2005-03,148.9
2005-04,149.6
2005-05,149.4
2005-06,149.6
2005-07,151
2005-08,151.8
2005-09,154.2
2005-10,156.6
2005-11,152.7
2005-12,152.8
2006-01,154.1
2006-02,153.5
2006-03,155
2006-04,157.2
2006-05,158.5
2006-06,159.5
2006-07,159.4
2006-08,159.8
2006-09,156.8
2006-10,155.9
2006-11,156.4
2006-12,156.9
2007-01,156.4
2007-02,157.7
2007-03,160.1
2007-04,162.2
2007-05,163.8
2007-06,163.7
2007-07,164.9
2007-08,163
2007-09,163.7
2007-10,164.5
2007-11,168
2007-12,166.9
2008-01,168.5
2008-02,169.6
2008-03,173.4
2008-04,175.3
2008-05,179.4
2008-06,182
2008-07,185.6
2008-08,182.6
2008-09,182.9
2008-10,176.8
2008-11,169.4
2008-12,164.1
2009-01,164.7
2009-02,163.9
2009-03,162.9
2009-04,164.2
2009-05,165.8
2009-06,168.4
2009-07,167.1
2009-08,169.4
2009-09,168.6
2009-10,168.9
2009-11,170.7
2009-12,170.8
2010-01,173.1
2010-02,172.2
2010-03,173.9
2010-04,175.2
2010-05,176.1
2010-06,174.8
2010-07,174.7
2010-08,175.3
2010-09,175.5
2010-10,177.3
2010-11,178.2
2010-12,179.1
2011-01,181.1
2011-02,183.3
2011-03,187.3
2011-04,190.2
2011-05,191.9
2011-06,191.1
2011-07,191.7
2011-08,190.7
2011-09,191.5
2011-10,190.2
2011-11,190.6
2011-12,189.6
2012-01,191.1
2012-02,192.1
2012-03,194.3
2012-04,194.7
2012-05,193.6
2012-06,191.7
2012-07,191.2
2012-08,193.5
2012-09,195.4
2012-10,195.1
2012-11,192.6
2012-12,191.8
2013-01,192.6
2013-02,195.2
2013-03,194.5
2013-04,194
2013-05,194
2013-06,193.9
2013-07,194
2013-08,194.6
2013-09,194.3
2013-10,193.7
2013-11,192.7
2013-12,193.2
2014-01,194.2
2014-02,195.2
2014-03,196.2
2014-04,197.5
2014-05,197.2
2014-06,197.2
2014-07,197.4
2014-08,197.4
2014-09,196.8
2014-10,194.8
2014-11,192.7
2014-12,189.1
2015-01,185
2015-02,185.4
2015-03,186.2
2015-04,185.7
2015-05,188.2
2015-06,188.9
2015-07,188.5
2015-08,187
2015-09,184.3
2015-10,183.7
2015-11,182.9
2015-12,180.8
2016-01,179.7
2016-02,178.7
2016-03,179.3
2016-04,180.5
2016-05,181.9
2016-06,183.6
2016-07,183.4
2016-08,182.5
2016-09,183
2016-10,183.7
2016-11,183.2
2016-12,183.9
2017-01,185.6
2017-02,186.2
2017-03,186.7
2017-04,187.6
2017-05,187.3
2017-06,187.6
2017-07,187.3
2017-08,188.4
2017-09,189.6
2017-10,190.2
2017-11,191.2
2017-12,191.3
2018-01,192.6
2018-02,193.5
2018-03,194
2018-04,195.3
2018-05,197.7
2018-06,198.4
2018-07,198.5
2018-08,198.6
2018-09,198.9
2018-10,200.4
2018-11,198.4
2018-12,195.2
2019-01,194.3
2019-02,195.4
2019-03,197.4
2019-04,199.2
2019-05,199.1
2019-06,197
2019-07,197.5
2019-08,196.4
2019-09,195.9
2019-10,196.6
2019-11,196.5
2019-12,196.4
2020-01,196.6
2020-02,195.1
2020-03,193.2
2020-04,186.5
2020-05,189.7
